enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,prediction
31373,city_159,0.843,Female,Has relevent experience,No Enrollment,Masters,STEM,8,50-99,Pvt Ltd,1,246,0.0,0.0
28751,city_103,0.92,Not provided,No relevent experience,Full time course,High School,Unknown,4,0,Unknown,3,75,0.0,1.0
2533,city_162,0.767,Male,Has relevent experience,Full time course,Graduate,STEM,4,500-999,Pvt Ltd,1,48,0.0,0.0
18712,city_103,0.92,Male,No relevent experience,No Enrollment,Graduate,STEM,2,500-999,Public Sector,1,7,1.0,0.0
12900,city_138,0.836,Male,Has relevent experience,No Enrollment,Masters,STEM,20,100-500,Pvt Ltd,1,5,0.0,0.0
1793,city_157,0.769,Male,Has relevent experience,Part time course,Graduate,STEM,5,10000+,Pvt Ltd,1,11,0.0,0.0
6626,city_114,0.926,Not provided,No relevent experience,No Enrollment,Phd,STEM,20,1000-4999,Public Sector,2,24,0.0,0.0
6845,city_136,0.897,Not provided,Has relevent experience,No Enrollment,Masters,STEM,6,100-500,Pvt Ltd,1,64,0.0,0.0
12985,city_67,0.855,Other,No relevent experience,No Enrollment,Primary School,Unknown,1,0,Unknown,Never,17,1.0,0.0
21583,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,7,5000-9999,Public Sector,Never,9,0.0,0.0
17050,city_70,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,0,0,Unknown,2,26,1.0,1.0
33167,city_21,0.624,Male,Has relevent experience,No Enrollment,Masters,STEM,4,10-49,Pvt Ltd,1,194,1.0,1.0
20828,city_61,0.913,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,3,0,Unknown,1,28,0.0,1.0
1330,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,No Major,20,0,Unknown,2,51,1.0,1.0
31522,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,<10,Early Stage Startup,1,134,0.0,1.0
13864,city_102,0.804,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,51,0.0,0.0
8680,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,500-999,Pvt Ltd,2,17,0.0,0.0
